mes	volatilidade
1	-1,44
2	-0,75
3	-0,69
4	-0,88
5	0,12
6	0,75
7	0,81
8	-1,75
9	0,69
10	-0,22
11	-0,16
12	0,34
13	0,78
14	0,62
15	2,44
16	-0,28
17	2,22
18	-0,5
19	2,06
20	-0,88
21	-4,5
22	4,12
23	1,16
24	-0,5
25	3,28
26	3,34
27	-1,22
28	0,47
29	5,62
30	-1,59
31	4,31
32	1,47
33	-0,72
34	-0,38
35	-3,25
36	0,03
37	5,72
38	21,06
39	4,05
40	4,56
41	-1,25
42	-1,19
43	-3,12
44	8
45	9,31
46	4,12
47	-3,19
48	-17,75
49	14,38
50	-1,08
51	-10,11
52	-12,11
53	5,84
54	-9,37
55	-4,74
56	-2,69
57	-10,61
58	-5,85
59	-17,16
60	-11,59
